تعداد افراد خانوار,کل,یک نفر,دو نفر,سه نفر,چهار نفر,پنج نفر,شش نفر,هفت نفر,هشت نفر,نه نفر,ده نفر و بیشتر
1391,100,6.4,17.9,28,28.8,12,4.3,1.6,0.5,0.3,0.2
1392,100,6,18,27.4,29.8,12.3,4,1.6,0.4,0.3,0.2
1393,100,6.4,18.2,27.6,30.1,11.5,3.8,1.4,0.6,0.2,0.2
1394,100,6.9,19.1,28.1,29,11.4,3.7,1.2,0.4,0.1,0.1
1395,100,6.7,20.1,28.6,29.4,10.9,2.8,0.9,0.3,0.2,0.1
1396,100,7.6,20.5,28.5,28.9,10.5,2.7,0.9,0.2,0.1,0.1
1397,100,8,22,27.8,28.1,10.1,2.5,1,0.3,0.1,0.1
1398,100,7.9,22,27.7,28.3,10.2,2.7,0.8,0.2,0.1,0.1
1399,100,8.4,22.4,28.2,27.8,9.5,2.4,0.8,0.3,0.1,0.1
1400,100,8.2,23,27.7,27.2,10.1,2.6,0.7,0.3,0.1,0.1
