سال,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402
جمع کل هزینه ناخالص,15.6,7.3,11.4,7.2,23.9,28.7,38.3,52.2,62.4,48.3
1- خوراکیها و آشامیدنیها,8.1,3.1,8,10.2,33.1,28.6,53,58.7,71.6,44
2- دخانیات,-1.4,-3.6,19.3,4.1,67.9,23.1,29.4,58.4,56.9,44.4
3- پوشاک و کفش,15.9,4.3,6.4,5.1,3,7.9,31.7,84.4,85.7,48.1
4- مسکن، آب، برق، گاز و سایر سوخت ها,13.2,12.4,12.9,7.1,31,36.9,37.9,43.8,51.6,46.9
5- لوازم، اثاث و خدمات مورد استفاده در خانه,14.1,6.9,8.5,7,18.4,26.6,56.2,43.4,61.3,45.6
6- بهداشت و درمان,18.8,8,12.7,4.5,17.5,16.8,35.7,70.9,43.5,50.8
7- حمل ونقل,40.1,5.9,16.1,6.7,5.8,26,23.2,58.8,81.8,57.8
8- ارتباطات,19.9,-0.1,7.6,3.5,7.9,23.3,61.9,31.5,28.6,37.1
9- تفریح و امور فرهنگی,20.7,-5.8,16.2,6.4,14.9,14.5,-20.2,65.2,116.3,77.3
10- تحصیل,23.6,5.7,12.6,3.5,4.1,8.1,7.4,21.5,70.1,51.1
11- رستوران و هتل,11.9,13,13,7.5,15.6,26.1,-19.7,112.6,115.3,71.8
12- کالاها و خدمات متفرقه,19.7,6.9,11.9,5.2,19.1,20.9,28.9,46.1,53.8,52.9
