خدماتعمومی ، اجتماعی وشخصی,خدمات مالی، بیمه،ملکی ، حقوقی وتجاری,سال,کل,کشاورزی ،دامپروری، شکار،جنگلداری وماهیگیری,صنعت و معدن,برق ، گاز و آب,ساختمان,عمده فروشی ، خردهفروشی ، هتلداری ورستوران,حمل و نقل ،انبارداری و ارتباطات
31.2,2.6,1371,100,4.3,23.7,1.1,9.8,19.2,8.1
31.5,2.7,1372,100,4.4,23.1,1.2,9.5,19.4,8.2
31,2.7,1373,100,5,24.1,1.1,10.1,17.9,8.1
29.9,2.9,1374,100,5.2,22.8,1.2,10.1,19.8,8.1
29.1,2.7,1375,100,4.6,22.5,1.2,10.8,20.1,9
29.1,3.1,1376,100,4,23.3,1.2,11.4,19.1,8.8
25.3,4.2,1377,100,4.2,22,1.4,11.2,22.6,9.1
24.8,3.7,1378,100,4.8,22.6,1,11.7,22.5,8.9
24.5,3.9,1379,100,4.7,23.5,1.2,10.9,21.7,9.6
25.1,3.9,1380,100,4.9,22.4,1.2,10.5,22.9,9.1
